lon,lat,plastic_c,bin_c
80.40740500000001,7.2569686,5,0
80.4074064,7.2569361,2,0
80.4074068,7.2569138,1,0
80.40740380000001,7.2568958,6,0
80.40739760000001,7.256858,7,0
80.4073884,7.256839,5,0
80.40737920000001,7.2568123,4,0
80.4073635,7.2567829,2,0
80.4073611,7.2567314,4,0
80.4073559,7.2567104,6,0
80.4073525,7.2566767,4,0
80.40735140000001,7.2566115,4,0
80.40735620000001,7.2566011,7,0
80.40736170000001,7.2565802,8,0
80.4073692,7.2565574,7,0
80.4073809,7.2565335,7,0
80.4073927,7.2565212,2,0
80.40740650000001,7.256511,1,0
80.40741890000001,7.2565012,5,0
80.4074367,7.256495,0,0
80.4074442,7.2564963,7,0
80.4074458,7.2564975,11,0
80.4074451,7.2565024,1,0
80.4077019,7.2563085,10,0
80.407723,7.2563013,16,0
80.40780190000001,7.2562825,6,0
80.4078806,7.2563107,3,0
80.4078856,7.2563606,2,0
80.40789930000001,7.256384,6,0
80.4079378,7.2563969,4,0
80.40795680000001,7.2563903,3,0
80.4079717,7.2563825,1,0
80.40798860000001,7.2563891,4,0
80.4080466,7.2563972,0,0
80.4081938,7.2564009,0,0
80.40823160000001,7.2563966,1,0
80.4082626,7.2564008,5,0
80.4083384,7.256436,2,0
80.4083626,7.2564649,0,0
80.40839050000001,7.2564837,0,0
80.40849270000001,7.2564195,0,0
80.4085185,7.2564331,2,0
80.40859440000001,7.2563388,7,0
80.4086372,7.2562924,5,0
80.4086632,7.2562977,12,0
80.4086832,7.2562875,8,0
80.4086927,7.2562364,5,0
80.4086814,7.2561711,2,0
80.4086836,7.25612,5,0
80.4087076,7.2560882,2,0
80.40876680000001,7.2560028,5,0
80.40877370000001,7.2558773,2,0
80.4087262,7.255648,0,0
80.40864930000001,7.2554315,0,0
80.4086553,7.2553958,0,0
80.40859180000001,7.2552112,0,0
80.4086094,7.2551771,0,0
80.408603,7.2550706,2,0
80.40849530000001,7.2550674,0,0
80.40845230000001,7.2551108,0,0
80.4085215,7.2552477,0,0
80.40864810000001,7.2552718,0,0
80.4088232,7.2552766,5,0
80.4089091,7.2552572,11,0
80.4089441,7.2552443,9,0
80.409036,7.2552028,0,0
80.40918040000001,7.2552079,2,0
80.4092663,7.2552352,4,0
80.40937000000001,7.2552886,1,0
80.409425,7.2554472,1,0
80.40947410000001,7.2555796,7,0
80.4092287,7.255604,4,0
80.4091733,7.2554851,6,0
80.40916460000001,7.2554094,6,0
80.40922880000001,7.2554093,1,0
80.4092988,7.255418,1,0
80.4094486,7.2553788,0,0
80.4094819,7.2553669,0,0
80.4095173,7.2553332,0,0
80.4095707,7.2553428,0,0
80.4096265,7.255351,7,0
80.4096992,7.255353,2,0
80.40980640000001,7.255338,7,0
80.4099011,7.2553122,1,0
80.40994710000001,7.2552988,3,0
80.4100708,7.255314,2,0
80.41021540000001,7.2552983,2,0
80.4102872,7.2553055,5,0
80.4103908,7.2552915,2,0
80.4104465,7.255289,1,0
80.41049220000001,7.2552909,3,0
80.4105605,7.2553199,1,0
80.4106551,7.2553677,0,0
80.41072720000001,7.2553904,0,0
80.4108714,7.2554339,1,0
80.4109488,7.2554448,3,0
80.4110357,7.2554531,4,0
80.4110811,7.2554245,4,0
80.4111644,7.2555024,7,0
80.41123080000001,7.2554712,7,0
80.4113057,7.2554042,1,0
80.4116987,7.2551946,9,0
80.4117763,7.2551637,8,0
80.4118287,7.2551441,6,0
80.4118773,7.2551239,8,0
80.41192240000001,7.2551036,11,0
80.41204520000001,7.255066,4,0
80.41212820000001,7.2550406,8,0
80.41217970000001,7.2550282,4,0
80.4122318,7.2550206,6,0
80.4123369,7.2550125,10,0
80.4123873,7.2550097,5,0
80.41248680000001,7.2549999,4,0
80.41259960000001,7.2549966,1,0
80.41274270000001,7.2549817,1,0
80.4129037,7.2549741,0,0
80.413032,7.2549723,0,0
80.41308000000001,7.2549717,2,0
80.4131273,7.2549719,2,0
80.4132115,7.2549675,9,0
80.41325470000001,7.2549646,6,0
80.4132965,7.2549621,4,0
80.4133831,7.2549525,0,0
80.41355940000001,7.2549351,5,0
80.41360420000001,7.2549302,5,0
80.41366880000001,7.2549214,1,0
80.4137367,7.2549106,6,0
80.4138025,7.254898,2,0
80.4138664,7.2548829,8,0
80.4139093,7.2548753,0,0
80.4139741,7.2548624,3,0
80.4140366,7.2548503,4,0
80.41411760000001,7.2548366,0,0
80.41415880000001,7.2548307,0,0
80.41422220000001,7.2548199,1,0
80.41447090000001,7.2547378,3,0
80.4145283,7.2547245,4,0
80.41458990000001,7.2547146,7,0
80.4146616,7.2546805,3,0
80.41471840000001,7.2546417,4,0
80.4147549,7.2546211,1,0
80.41480820000001,7.2545928,0,0
80.4148948,7.254548,0,0
80.4149271,7.2545372,0,0
80.4149598,7.2545247,2,0
80.4149984,7.2544873,2,0
80.4150235,7.2544664,3,0
80.41510430000001,7.2544211,4,0
80.41518660000001,7.2543641,20,0
80.4152339,7.2543356,8,0
80.41525270000001,7.254325,8,0
80.4152689,7.254312,11,0
80.41528430000001,7.2542994,5,0
80.41530180000001,7.254285,3,0
80.41533220000001,7.2542621,1,0
80.4153919,7.2542118,7,0
80.415436,7.2541837,18,0
80.41547130000001,7.254149,13,0
80.41548680000001,7.2541281,6,0
80.4155193,7.2540827,5,0
80.41553660000001,7.2540579,6,0
80.4155521,7.2540326,6,0
80.4155667,7.2540088,13,0
80.4156157,7.2539086,8,0
80.41563760000001,7.2538769,0,0
80.4156552,7.2538544,0,0
80.4156682,7.253829,0,0
80.4157186,7.2537496,3,0
80.4157534,7.2537116,2,0
80.4157685,7.2536899,1,0
80.415784,7.25367,0,0
80.41580730000001,7.2536354,0,0
80.41581950000001,7.2536109,2,0
80.4158367,7.2535743,1,0
80.41586190000001,7.2535206,0,0
80.4158731,7.2534963,0,0
80.4158902,7.2534424,5,0
80.4159078,7.2533758,0,0
80.4159168,7.2533495,0,0
80.41592510000001,7.2533221,1,0
80.4159322,7.253295,2,0
80.4159413,7.2532663,4,0
80.415951,7.2532418,3,0
80.41597,7.2531918,0,0
80.4159858,7.253134,1,0
80.4159968,7.25309,0,0
80.41601100000001,7.2530299,7,0
80.4160171,7.2529982,5,0
80.41602,7.2529656,2,0
80.4160227,7.2529351,1,0
80.41603350000001,7.252872,2,0
80.41603980000001,7.2528381,2,0
80.416048,7.2527873,0,0
80.4160659,7.2526867,0,0
80.4160719,7.2526529,4,0
80.4160775,7.252619,9,0
80.41608500000001,7.2525858,9,0
80.41609340000001,7.2525529,4,0
80.4161129,7.2524899,7,0
80.41612350000001,7.2524602,8,0
80.41613450000001,7.2524322,6,0
80.41615580000001,7.2523771,6,0
80.41616780000001,7.2523543,8,0
80.41618270000001,7.25233,6,0
80.41619890000001,7.2523024,5,0
80.4162154,7.2522752,3,0
80.41625780000001,7.2522165,2,0
80.4162763,7.2521901,0,0
80.4162962,7.2521687,5,0
80.41633110000001,7.2521194,2,0
80.41634400000001,7.2520933,4,0
80.4164063,7.2519966,0,0
80.4164219,7.2519488,1,0
80.416437,7.2518994,0,0
80.4164471,7.2518618,0,0
80.41646560000001,7.2517749,3,0
80.4164911,7.251695,7,0
80.41649960000001,7.2516636,19,0
80.4165261,7.2515722,6,0
80.41653620000001,7.2515165,9,0
80.4165452,7.2513968,1,0
80.41654940000001,7.2513594,2,0
80.41655080000001,7.2513276,2,0
80.4165765,7.2512752,3,0
80.4165899,7.2512326,5,0
80.41664610000001,7.2511722,6,0
80.4166715,7.2511531,8,0
80.41670470000001,7.2511375,2,0
80.41692760000001,7.2508872,0,0
80.4169731,7.2508508,9,0
80.4170438,7.2508078,10,0
80.4170998,7.2507774,1,0
80.41719830000001,7.2507494,1,0
80.41731630000001,7.2507,4,0
80.4173598,7.2506572,4,0
